Time (h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Air head pressure(pressure:bar),Dumped broth flow(Fremoved:L/h),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Penicillin concentration(P:g/L),Vessel Volume(V:L),Vessel Weight(Wt:Kg),pH(pH:pH),Temperature(T:K),Generated heat(Q:kJ),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),PAA concentration offline(PAA_offline:PAA (g L^{-1})),Oil flow(Foil:L/hr),NH_3 concentration off-line(NH3_offline:NH3 (g L^{-1})),Oxygen Uptake Rate(OUR:(g min^{-1})),Oxygen in percent in off-gas(O2:O2  (%)),Offline Penicillin concentration(P_offline:P(g L^{-1})),Offline Biomass concentratio(X_offline:X(g L^{-1})),Carbon evolution rate(CER:g/h),Ammonia shots(NH3_shots:kgs),Viscosity(Viscosity_offline:centPoise),Fault reference(Fault_ref:Fault ref),0 - Recipe driven 1 - Operator controlled(Control_ref:Control ref),1- No Raman spec, 1-Raman spec recorded,2-PAT control(PAT_ref:PAT ref),Batch reference(Batch_ref:Batch ref),Batch ID,Fault flag,timestamp
204,65,100,80,0.0,6.6654,120.01,15.216,250,0.9,0,27.02,12.881,18.055,73885,82386,6.5085,298.03,236.95,1.3803,4.0,5034.0,23,3106.3,0.52389,0.19788,18.153,19.562,1.1414,0,70.305,0,0,1,4,4,0,106050,105840,04/09/2025 11:32:52 AM
216,65,100,80,0.0,5.2506,25.827,103.64,250,0.9,0,34.885,13.32,16.635,70557,78650,6.4851,298.07,248.62,1.222,4.0,5215.7,23,3227.3,0.3666,0.19955,16.727,18.59,1.0101,0,65.452,0,0,1,4,4,0,99471,99916,04/09/2025 11:32:53 AM
228,65,100,80,0.0,14.928,85.582,1.8036,250,0.9,0,41.952,13.81,15.313,74307,82928,6.4958,297.91,191.8,1.1847,4.0,5390.0,23,3334.0,0.24644,0.20066,15.396,17.65,0.97916,0,60.478,0,0,1,4,4,0,91871,91804,04/09/2025 11:32:54 AM
230,65,100,80,0.0,15.781,75.728,1.6785,250,0.9,0,42.947,13.855,15.107,74932,83636,6.4961,297.92,194.57,1.1782,4.0,5417.2,23,3350.1,0.26071,0.20055,15.189,17.502,0.9737,0,59.638,0,0,1,4,4,0,91840,92105,04/09/2025 11:32:55 AM
1,30,100,8,0.0,20.602,41.773,4.1205,0,0.6,0,1.3535,14.578,0.00099782,57166,61831,6.5234,297.98,44.498,0.10356,5.0,1424.3,22,1678.1,-0.053858,0.20598,0.001,0.49258,0.039388,0,4.0812,0,0,1,5,5,0,0,0,04/09/2025 11:32:56 AM
12,42,100,15,0.0,100.59,216.46,0.0001,0,0.6,0,0.81947,11.36,0.00096481,57458,62447,6.4813,298.18,96.985,0.3276,0.0,1539.1,30,1802.6,1.0039,0.19096,0.00096786,2.7765,0.17454,0,10.649,0,0,1,5,5,0,21473,21444,04/09/2025 11:32:57 AM
24,55,100,150,0.0,225.0,288.92,0.0001,0,0.7,0,0.016732,8.8033,0.00090109,59685,65352,6.4296,297.97,40.705,0.75074,0.0,1208.8,35,1786.5,1.8366,0.18466,0.00090721,9.0856,0.52438,0,22.062,0,0,1,5,5,0,21072,20876,04/09/2025 11:32:58 AM
36,55,100,43,0.0,51.433,111.19,0.0001,0,0.9,0,0.0028353,11.6,1.6184,60555,66737,6.5102,298.04,100.56,1.0144,0.0,737.04,35,1720.7,1.2549,0.19026,1.4959,12.729,0.70903,0,35.628,0,0,1,5,5,0,28567,28051,04/09/2025 11:32:59 AM
48,60,100,57,0.0,71.762,190.53,0.0001,0,1.1,0,0.0027411,11.583,3.6833,61660,68437,6.5083,298.02,94.865,1.2089,10.0,758.92,35,1780.6,1.4317,0.18929,3.5304,16.387,0.92235,0,49.84,0,0,1,5,5,0,38242,38077,04/09/2025 11:33:00 AM
60,60,100,72,0.0,65.038,37.46,0.0001,500,1.1,0,0.0021941,13.293,5.9097,68243,75689,6.5054,297.96,74.214,1.51,10.0,1077.3,34,1775.1,1.325,0.18973,5.7375,18.788,1.1531,0,41.695,0,0,1,5,5,0,48518,48206,04/09/2025 11:33:01 AM
72,60,100,84,0.0,72.54,13.22,0.0001,500,1.1,0,0.0018072,14.473,8.4962,75835,83964,6.4977,298.0,87.65,1.7785,10.0,1204.6,31,1685.0,1.4514,0.18801,8.3223,20.043,1.3592,0,26.752,0,0,1,5,5,0,61118,61495,04/09/2025 11:33:02 AM
84,60,100,90,0.0,55.333,38.161,0.0001,100,1.1,0,0.0011158,13.649,11.366,80016,88841,6.4745,297.99,82.331,2.0346,10.0,1211.0,23,1619.5,1.8405,0.18383,11.189,21.806,1.5561,0,28.319,0,0,1,5,5,0,74877,74613,04/09/2025 11:33:03 AM
96,75,100,90,0.0,54.853,10.803,0.0001,100,1.1,0,0.00085456,13.639,13.894,82713,92136,6.5025,297.99,84.956,1.7719,10.0,1258.4,23,1607.3,1.7544,0.18848,13.738,23.009,1.6927,0,37.544,0,0,1,5,5,0,86883,87141,04/09/2025 11:33:04 AM
108,75,100,90,0.0,46.539,27.966,0.0001,100,1.0,0,0.001043,11.805,16.363,78144,87180,6.5175,298.0,87.838,1.7363,10.0,1319.9,23,1613.5,1.8221,0.18804,16.188,23.947,1.6585,0,46.582,0,0,1,5,5,0,99106,98885,04/09/2025 11:33:05 AM
120,75,100,90,0.0,58.991,14.35,0.0001,100,1.0,0,0.00096005,11.288,18.934,80745,90413,6.5068,297.99,84.301,1.8546,10.0,1307.1,23,1604.7,1.9248,0.18703,18.773,24.928,1.7721,0,55.463,0,0,1,5,5,0,110830,110800,04/09/2025 11:33:06 AM
132,75,100,90,0.0,54.251,0.0001,0.0001,100,1.0,-4000,0.00090984,10.915,21.361,76333,85631,6.514,297.95,69.593,1.8007,10.0,1290.0,23,1602.4,1.8331,0.18783,21.208,25.697,1.7203,0,64.101,0,0,1,5,5,0,122350,122670,04/09/2025 11:33:07 AM
144,75,100,90,0.0,56.746,5.8244,68.417,100,1.0,0,0.00061227,11.095,23.416,79068,88994,6.5033,298.02,96.451,1.8667,10.0,1349.4,23,1637.2,1.7293,0.18849,23.31,26.059,1.7838,0,72.261,0,0,1,5,5,0,132060,132730,04/09/2025 11:33:08 AM
156,75,100,90,0.0,38.435,28.152,4.5977,0,0.9,0,0.00054829,9.7695,25.038,74123,83595,6.5019,297.91,56.517,1.731,10.0,1522.8,23,1729.3,1.6023,0.18971,24.92,26.014,1.6534,0,81.957,0,0,1,5,5,0,140620,140980,04/09/2025 11:33:09 AM
168,75,100,80,0.0,52.056,30.212,7.2657,400,0.9,0,0.0011188,11.657,26.309,78692,88749,6.4931,297.89,45.657,1.7474,10.0,1732.9,23,1798.9,1.1765,0.19288,26.228,25.144,1.6691,0,78.994,0,0,1,5,5,0,145660,146190,04/09/2025 11:33:10 AM
179,75,100,80,0.0,63.64,111.67,14.905,150,0.9,0,0.0013307,10.702,28.172,75094,84645,6.5126,297.97,78.645,1.6199,10.0,1782.5,23,1818.6,1.373,0.19166,28.038,24.669,1.5467,0,77.112,0,0,1,5,5,0,155060,155110,04/09/2025 11:33:11 AM
1,30,100,8,0.0,4.0644,158.14,14.062,0,0.6,0,1.3221,14.59,0.00099812,57512,61768,6.4787,298.11,570.07,0.10478,5.0,1377.2,22,1681.9,-0.060574,0.2061,0.001,0.49661,0.039853,0,4.0814,0,0,1,6,6,0,0,0,04/09/2025 11:33:12 AM
12,42,100,15,0.0,79.495,218.44,0.0001,0,0.6,0,0.59219,11.205,0.00096559,57775,62363,6.4834,298.2,592.89,0.34589,0.0,1493.3,30,1806.1,1.0454,0.19035,0.00096841,2.9387,0.18429,0,10.744,0,0,1,6,6,0,22027,21664,04/09/2025 11:33:13 AM
24,55,100,150,0.0,225.0,486.36,0.0001,0,0.7,0,0.02133,7.4467,0.00090385,59801,65145,6.3634,298.05,550.29,0.82417,0.0,1138.9,35,1785.6,2.1771,0.1809,0.00091001,9.9409,0.57578,0,22.407,0,0,1,6,6,0,20677,20147,04/09/2025 11:33:14 AM
36,55,100,43,0.0,41.405,200.97,0.017366,0,0.9,0,0.0025049,10.959,1.6007,60665,66562,6.5035,298.16,581.76,1.1325,0.0,645.22,35,1713.0,1.3275,0.18928,1.464,14.241,0.79188,0,36.574,0,0,1,6,6,0,28631,28949,04/09/2025 11:33:15 AM
48,60,100,57,0.0,56.742,93.777,0.0001,0,1.1,0,0.0020753,11.106,3.982,61641,68145,6.4985,297.98,530.4,1.3204,10.0,631.43,35,1756.3,1.4878,0.18854,3.8029,17.98,1.0077,0,51.351,0,0,1,6,6,0,39404,39909,04/09/2025 11:33:16 AM
60,60,100,72,0.0,69.705,25.943,0.0001,500,1.1,0,0.0019022,12.942,6.4015,68026,75179,6.4967,298.0,534.8,1.5956,10.0,974.38,34,1753.9,1.3313,0.1895,6.2431,19.949,1.2187,0,43.557,0,0,1,6,6,0,52176,52035,04/09/2025 11:33:17 AM
72,60,100,84,0.0,102.15,2.3357,0.0001,500,1.1,0,0.0015876,14.152,8.7184,75792,83642,6.5037,297.98,528.68,1.8786,10.0,1211.2,31,1687.9,1.5127,0.18724,8.5631,21.219,1.4361,0,28.845,0,0,1,6,6,0,63508,63555,04/09/2025 11:33:18 AM
84,60,100,90,0.0,48.014,42.434,0.0001,100,1.1,0,0.0010604,13.076,11.408,80244,88809,6.4991,298.0,533.15,2.1498,10.0,1306.3,23,1635.3,1.9809,0.18227,11.235,22.996,1.6449,0,30.633,0,0,1,6,6,0,75434,75337,04/09/2025 11:33:19 AM
96,75,100,90,0.0,43.628,26.755,0.0001,100,1.1,0,0.0008174,12.77,12.466,83155,92362,6.4813,297.98,525.65,1.873,10.0,1688.0,23,1731.6,2.007,0.18637,12.314,24.201,1.7898,0,40.479,0,0,1,6,6,0,80797,81209,04/09/2025 11:33:20 AM
108,75,100,90,0.0,91.621,17.46,0.0001,100,1.0,0,0.00092434,11.186,14.896,79083,87981,6.4997,297.99,530.66,1.8598,10.0,1798.4,23,1725.1,1.9556,0.18679,14.732,25.386,1.7771,0,50.539,0,0,1,6,6,0,92869,92469,04/09/2025 11:33:21 AM
120,75,100,90,0.0,81.931,3.8065,39.029,100,1.0,0,0.0006884,11.147,17.018,82229,91764,6.4892,298.02,540.54,1.9706,10.0,1949.1,23,1738.8,1.8628,0.18728,16.887,26.065,1.8836,0,60.188,0,0,1,6,6,0,101940,101890,04/09/2025 11:33:22 AM
132,75,100,90,0.0,50.51,10.685,0.26798,100,1.0,-4000,0.00084692,10.502,18.913,78401,87560,6.455,297.93,508.65,1.8961,10.0,2107.9,23,1767.6,1.8002,0.1879,18.766,26.372,1.812,0,69.211,0,0,1,6,6,0,110910,111380,04/09/2025 11:33:23 AM
144,75,100,90,0.0,116.45,0.059071,68.348,100,1.0,0,0.00053286,11.115,20.548,82005,91801,6.5255,297.95,514.43,1.9483,10.0,2291.4,23,1812.4,1.6982,0.18857,20.456,26.273,1.8622,0,77.381,0,0,1,6,6,0,119120,119600,04/09/2025 11:33:24 AM
156,75,100,90,0.0,29.005,26.21,100.39,0,0.9,0,2.6661,10.65,21.311,77119,86480,6.4931,298.02,542.15,1.7812,10.0,2665.1,23,1959.3,1.3791,0.1913,21.374,25.792,1.7016,0,86.561,0,0,1,6,6,0,122040,121700,04/09/2025 11:33:25 AM
168,75,100,80,0.0,15.984,23.618,174.38,400,0.9,0,8.856,12.609,19.615,81234,91111,6.4898,298.23,621.71,1.7561,10.0,3487.3,23,2278.3,1.0568,0.19376,19.746,24.577,1.6775,0,83.975,0,0,1,6,6,0,114600,114740,04/09/2025 11:33:26 AM
180,75,100,80,0.0,35.196,14.566,136.74,150,0.9,0,15.602,11.918,18.278,77352,86753,6.4938,298.1,573.27,1.5819,10.0,4283.0,23,2584.2,1.1506,0.1934,18.359,23.566,1.5103,0,83.113,0,0,1,6,6,0,106860,106490,04/09/2025 11:33:27 AM
192,75,100,80,4.1468,0.074823,195.17,23.341,150,0.9,-4000,22.217,11.975,17.114,73061,82004,6.7002,298.11,575.24,1.4217,10.0,5039.4,23,2876.9,1.0033,0.19482,17.188,22.755,1.3567,0,85.666,0,0,1,6,6,0,101440,101560,04/09/2025 11:33:28 AM
204,65,100,80,0.0,13.86,22.662,177.82,250,0.9,0,29.559,12.287,15.934,76079,85564,6.4896,298.25,624.18,1.5945,4.0,5669.8,23,3123.1,0.99709,0.19338,16.019,21.874,1.3194,0,86.541,0,0,1,6,6,0,95962,95900,04/09/2025 11:33:29 AM
216,65,100,80,0.0,6.4904,13.138,67.102,250,0.9,0,36.369,12.574,14.697,72786,81850,6.4981,297.91,505.62,1.4178,4.0,5840.7,23,3226.3,0.9371,0.19425,14.778,20.812,1.1726,0,82.901,0,0,1,6,6,0,89760,90021,04/09/2025 11:33:30 AM
228,65,100,80,0.0,13.67,1.5218,80.325,250,0.9,0,42.916,12.886,13.546,76556,86150,6.5073,297.98,529.2,1.3776,4.0,6003.9,23,3317.3,0.96358,0.1941,13.619,19.785,1.1392,0,79.131,0,0,1,6,6,0,83983,84400,04/09/2025 11:33:31 AM
230,65,100,80,0.0,19.437,141.67,17.919,250,0.9,0,43.936,12.972,13.366,77185,86866,6.5064,298.08,564.58,1.3706,4.0,6028.0,23,3331.1,0.94434,0.19428,13.438,19.623,1.1334,0,78.491,0,0,1,6,6,0,82578,83160,04/09/2025 11:33:32 AM
1,30,100,8,0.0,7.2907,153.85,13.668,0,0.6,0,1.1366,14.582,0.00099811,58434,62678,6.4743,298.13,565.5,0.11756,5.0,1469.1,22,1663.5,-0.022333,0.20536,0.001,0.57602,0.044715,0,4.0855,0,0,1,7,7,0,0,0,04/09/2025 11:33:33 AM
12,42,100,15,0.0,16.885,245.56,1.7971,0,0.6,0,0.01014,12.968,0.00096675,58630,63196,6.4654,298.27,605.04,0.36565,0.0,1566.0,30,1781.4,0.51092,0.1976,0.00096878,3.2622,0.19483,0,11.061,0,0,1,7,7,0,21024,20995,04/09/2025 11:33:34 AM
24,55,100,150,0.0,225.0,325.1,0.0001,0,0.7,0,0.017651,9.2017,0.00090959,60389,65650,6.4212,298.12,563.15,0.76933,0.0,1265.1,35,1786.3,1.8454,0.18453,0.00091573,9.1882,0.53739,0,22.337,0,0,1,7,7,0,21682,21819,04/09/2025 11:33:35 AM
36,55,100,43,0.0,35.913,114.66,0.0001,0,0.9,0,0.0022598,12.335,2.0331,61097,66885,6.5086,297.98,522.7,1.0373,0.0,719.37,35,1692.8,1.0957,0.19187,1.8666,12.934,0.72508,0,35.944,0,0,1,7,7,0,30263,29917,04/09/2025 11:33:36 AM
48,60,100,57,0.0,38.468,113.85,0.0001,0,1.1,0,0.0021683,12.609,4.8384,61914,68274,6.4999,298.01,531.47,1.192,10.0,645.11,35,1710.2,1.2881,0.19069,4.634,16.113,0.90941,0,50.116,0,0,1,7,7,0,44120,43633,04/09/2025 11:33:37 AM
60,60,100,72,0.0,80.037,55.603,0.0001,500,1.1,0,0.0021259,13.869,7.4383,68234,75242,6.5049,298.0,527.11,1.4614,10.0,936.27,34,1696.2,1.2874,0.19018,7.268,18.162,1.1158,0,41.757,0,0,1,7,7,0,56784,56653,04/09/2025 11:33:38 AM
72,60,100,84,0.0,91.346,3.1442,20.67,500,1.1,0,0.0015813,15.225,10.083,75995,83698,6.5082,298.01,531.01,1.7326,10.0,1100.0,31,1609.2,1.32,0.18935,9.9072,19.489,1.324,0,26.594,0,0,1,7,7,0,70227,70120,04/09/2025 11:33:39 AM
84,60,100,90,0.0,54.187,82.383,0.0001,100,1.1,0,0.0011936,14.199,13.089,80377,88807,6.5064,297.96,512.38,2.0063,10.0,1085.4,23,1535.0,1.8489,0.1838,12.892,21.389,1.5344,0,27.992,0,0,1,7,7,0,84212,84297,04/09/2025 11:33:40 AM
96,75,100,90,0.0,67.843,33.674,0.0001,100,1.1,0,0.00099104,14.079,15.848,83253,92309,6.5044,298.0,526.04,1.7593,10.0,1095.0,23,1504.2,1.8309,0.18792,15.676,22.686,1.6806,0,37.135,0,0,1,7,7,0,97907,98016,04/09/2025 11:33:41 AM
108,75,100,90,0.0,63.53,18.83,0.0001,100,1.0,0,0.00095662,12.583,18.432,79007,87700,6.4978,297.97,517.64,1.7408,10.0,1126.0,23,1495.0,1.8003,0.18819,18.263,23.757,1.6628,0,46.166,0,0,1,7,7,0,110250,110050,04/09/2025 11:33:42 AM
120,75,100,90,0.0,86.947,1.3267,0.0001,100,1.0,0,0.00092264,12.298,20.789,81922,91232,6.5092,297.99,523.53,1.8491,10.0,1186.4,23,1503.4,1.8255,0.18779,20.64,24.516,1.7668,0,55.011,0,0,1,7,7,0,121490,121800,04/09/2025 11:33:43 AM
132,75,100,90,0.0,58.884,0.60237,0.15873,100,1.0,-4000,0.00087351,12.053,22.829,77793,86686,6.4757,297.93,502.58,1.7802,10.0,1267.8,23,1533.0,1.6024,0.18961,22.684,24.944,1.7006,0,63.482,0,0,1,7,7,0,131170,131340,04/09/2025 11:33:44 AM
144,75,100,90,0.0,107.01,69.332,10.001,100,1.0,0,0.0006959,12.275,24.697,80874,90381,6.485,298.03,538.55,1.8346,10.0,1382.2,23,1581.1,1.5314,0.19004,24.585,25.065,1.7529,0,71.306,0,0,1,7,7,0,139020,138880,04/09/2025 11:33:45 AM
156,75,100,90,0.0,165.96,6.4045,39.832,0,0.9,0,0.00096998,11.066,26.347,76739,85828,6.4789,297.98,518.4,1.7099,10.0,1540.3,23,1654.3,1.3732,0.19148,26.203,24.852,1.6332,0,80.539,0,0,1,7,7,0,147290,146990,04/09/2025 11:33:46 AM
168,75,100,80,0.0,225.0,0.63307,68.488,400,0.9,0,0.00084631,13.458,27.031,83297,93003,6.0904,297.92,495.99,1.7354,10.0,1804.7,23,1717.7,0.90754,0.19492,27.043,23.669,1.6576,0,77.414,0,0,1,7,7,0,150010,150380,04/09/2025 11:33:47 AM
180,75,100,80,0.0,225.0,0.059818,67.216,150,0.9,0,0.0013615,12.73,27.8,81980,91193,5.7985,297.95,507.85,1.608,10.0,2051.4,23,1795.3,1.0872,0.19383,27.735,22.564,1.5354,0,75.28,0,0,1,7,7,0,153590,153470,04/09/2025 11:33:48 AM
192,75,100,80,0.0,225.0,14.555,115.74,150,0.9,-4000,0.0015661,12.782,28.628,80149,88881,5.786,298.13,578.51,1.4974,10.0,2224.4,23,1864.3,1.0898,0.19402,28.581,21.818,1.4293,0,76.482,0,0,1,7,7,0,157440,158160,04/09/2025 11:33:49 AM
204,65,100,80,0.0,225.0,0.0001,62.542,250,0.9,0,0.0014174,13.069,28.974,85654,94937,6.0208,297.95,507.1,1.7301,4.0,2347.0,23,1925.9,1.1561,0.19174,28.977,21.06,1.4322,0,76.117,0,0,1,7,7,0,158950,159010,04/09/2025 11:33:50 AM
216,65,100,80,0.0,111.43,13.457,108.05,250,0.9,0,0.00166,12.904,29.257,84023,92828,6.4806,298.1,569.34,1.6112,4.0,2128.3,23,1900.3,1.1836,0.19173,29.234,20.461,1.3332,0,71.41,0,0,1,7,7,0,160210,160770,04/09/2025 11:33:51 AM
228,65,100,80,0.0,46.347,0.0001,63.093,250,0.9,0,0.0012807,13.176,29.336,88791,98120,6.4971,297.93,500.85,1.612,4.0,1961.8,23,1904.2,1.2625,0.19104,29.324,19.97,1.334,0,66.742,0,0,1,7,7,0,160460,160860,04/09/2025 11:33:52 AM
232,65,100,80,0.0,35.67,0.0001,63.373,250,0.9,-4000,0.0016498,13.039,29.416,83208,91672,6.4767,297.95,506.88,1.4948,4.0,1900.1,23,1906.0,1.2411,0.19145,29.397,19.864,1.2366,0,65.13,0,0,1,7,7,0,161810,161540,04/09/2025 11:33:53 AM
1,30,100,8,0.0,4.1317,113.16,10.19,0,0.6,0,1.3211,14.494,0.00099812,58720,62706,6.4766,298.06,388.5,0.1131,5.0,1373.8,22,1719.6,-0.017541,0.20528,0.001,0.53957,0.043017,0,4.0837,0,0,1,8,8,0,0,0,04/09/2025 11:33:54 AM
12,42,100,15,0.0,34.406,109.47,0.0017247,0,0.6,0,0.0081913,12.546,0.00097021,58909,63218,6.4841,297.95,358.37,0.36947,0.0,1466.7,30,1836.3,0.52714,0.19737,0.00096918,3.2861,0.19687,0,11.037,0,0,1,8,8,0,21023,21327,04/09/2025 11:33:55 AM
24,55,100,150,0.0,225.0,301.36,0.0001,0,0.7,0,0.013876,8.2509,0.00092416,60584,65557,6.452,297.97,362.31,0.75115,0.0,1181.2,35,1846.6,1.8004,0.18504,0.00093036,8.9647,0.52466,0,22.149,0,0,1,8,8,0,21182,21152,04/09/2025 11:33:56 AM
36,55,100,43,0.0,46.027,92.167,0.0001,0,0.9,0,0.002233,11.387,1.8936,61322,66813,6.4938,297.98,364.89,1.0157,0.0,666.17,35,1762.8,1.0715,0.19216,1.7378,12.605,0.70997,0,35.474,0,0,1,8,8,0,30081,29568,04/09/2025 11:33:57 AM
48,60,100,57,0.0,57.921,160.56,0.0001,0,1.1,0,0.0023884,10.95,4.3754,62363,68446,6.5026,297.96,358.16,1.2026,10.0,615.23,35,1791.6,1.3483,0.1901,4.1932,16.119,0.91748,0,49.478,0,0,1,8,8,0,41856,42364,04/09/2025 11:33:58 AM
60,60,100,72,0.0,84.347,77.39,0.0001,500,1.1,0,0.0018871,12.907,6.9427,68846,75593,6.4939,298.0,367.96,1.4895,10.0,877.28,34,1764.8,1.2395,0.19058,6.7716,18.364,1.1373,0,41.12,0,0,1,8,8,0,54358,54055,04/09/2025 11:33:59 AM
72,60,100,84,0.0,105.19,5.5368,0.0001,500,1.1,0,0.0015542,14.202,9.4367,76784,84215,6.5111,297.97,354.9,1.7582,10.0,1045.2,31,1676.8,1.4235,0.18832,9.2761,19.576,1.3436,0,25.959,0,0,1,8,8,0,66063,66616,04/09/2025 11:34:00 AM
84,60,100,90,0.0,65.84,94.472,0.0001,100,1.1,0,0.0012005,12.94,12.353,81393,89560,6.4956,297.99,360.65,2.0422,10.0,1051.3,23,1598.4,1.9097,0.18315,12.161,21.503,1.562,0,27.364,0,0,1,8,8,0,80106,80351,04/09/2025 11:34:01 AM
96,75,100,90,0.0,84.535,51.406,0.0001,100,1.1,0,0.0011472,12.299,15.298,84245,93103,6.4976,297.99,358.86,1.8237,10.0,1020.6,23,1545.1,2.0804,0.18591,15.099,23.225,1.7424,0,36.582,0,0,1,8,8,0,95209,95813,04/09/2025 11:34:02 AM
108,75,100,90,0.0,74.51,28.83,0.0001,100,1.0,0,0.00098597,10.687,18.199,80090,88647,6.5035,297.99,359.33,1.8302,10.0,978.25,23,1498.7,2.1229,0.18557,18.018,24.645,1.7487,0,45.861,0,0,1,8,8,0,109100,109390,04/09/2025 11:34:03 AM
120,75,100,90,0.0,76.937,2.7621,0.0001,100,1.0,0,0.00072921,10.527,20.647,82913,92117,6.4927,297.98,357.25,1.9517,10.0,983.85,23,1494.2,2.0544,0.18586,20.498,25.579,1.8655,0,55.043,0,0,1,8,8,0,120770,120760,04/09/2025 11:34:04 AM
132,75,100,90,0.0,60.539,0.027883,0.0001,100,1.0,-4000,0.00078327,9.963,22.962,78688,87505,6.4945,297.96,348.43,1.8887,10.0,975.52,23,1500.7,1.9372,0.18687,22.803,26.164,1.8049,0,63.872,0,0,1,8,8,0,131300,130970,04/09/2025 11:34:05 AM
144,75,100,90,0.0,41.109,16.641,0.36589,100,1.0,0,0.00077013,9.5928,25.15,81335,90801,6.4989,297.97,353.24,1.957,10.0,1021.0,23,1528.5,1.9643,0.18653,25.006,26.553,1.8706,0,72.163,0,0,1,8,8,0,142210,142070,04/09/2025 11:34:06 AM
156,75,100,90,0.0,51.225,10.405,2.5496,0,0.9,0,0.00053841,8.5607,27.209,76307,85361,6.517,297.93,336.98,1.8354,10.0,1061.1,23,1581.5,1.7327,0.18852,27.076,26.792,1.7536,0,82.181,0,0,1,8,8,0,150960,151500,04/09/2025 11:34:07 AM
168,75,100,80,0.0,43.081,0.68002,68.359,400,0.9,0,0.00072319,10.981,28.006,80720,90347,6.5089,297.94,340.62,1.8419,10.0,1338.1,23,1693.9,1.271,0.19199,27.964,25.854,1.7599,0,79.555,0,0,1,8,8,0,155730,155770,04/09/2025 11:34:08 AM
180,75,100,80,0.0,52.961,9.8548,51.042,150,0.9,0,0.0010974,9.8257,29.724,77269,86390,6.5008,298.01,367.83,1.7017,10.0,1433.1,23,1752.2,1.4941,0.19058,29.592,25.233,1.6253,0,77.624,0,0,1,8,8,0,162960,163020,04/09/2025 11:34:09 AM
192,75,100,80,0.0,60.155,21.227,0.6826,150,0.9,-4000,0.0016319,9.5891,31.664,73428,82067,6.5095,297.91,331.08,1.5806,10.0,1416.0,23,1790.8,1.4593,0.19108,31.53,24.975,1.5091,0,79.237,0,0,1,8,8,0,172240,172650,04/09/2025 11:34:10 AM
204,65,100,80,0.0,72.553,14.265,74.411,250,0.9,0,0.0014577,9.8842,33.21,77177,86438,6.4997,297.94,342.48,1.8434,4.0,1343.5,23,1809.3,1.5338,0.18823,33.137,24.67,1.5265,0,79.596,0,0,1,8,8,0,180110,180540,04/09/2025 11:34:11 AM
216,65,100,80,0.0,71.349,11.075,66.085,250,0.9,0,0.0014277,10.301,34.107,74533,83318,6.5037,297.94,343.41,1.7119,4.0,1022.4,23,1761.8,1.4258,0.18942,34.068,24.223,1.417,0,75.705,0,0,1,8,8,0,184860,184960,04/09/2025 11:34:12 AM
228,65,100,80,0.0,59.069,85.909,2.1058,250,0.9,0,0.0013193,10.723,34.487,78789,88164,6.5051,297.9,328.08,1.7306,4.0,811.73,23,1758.8,1.4099,0.18953,34.475,23.769,1.4326,0,71.855,0,0,1,8,8,0,186570,186510,04/09/2025 11:34:13 AM
230,65,100,80,0.0,53.989,10.518,118.46,250,0.9,0,0.0013048,10.8,34.508,79484,88953,6.4911,298.06,389.69,1.7315,4.0,784.01,23,1761.9,1.4033,0.18958,34.502,23.684,1.4334,0,71.193,0,0,1,8,8,0,185660,186260,04/09/2025 11:34:14 AM
1,30,100,8,0.0,16.805,55.276,5.4325,0,0.6,0,1.1778,14.62,0.00099804,57010,62250,6.4804,298.0,144.89,0.10368,5.0,1404.6,22,1688.2,-0.073504,0.20634,0.001,0.49665,0.039432,0,4.0814,0,0,1,9,9,0,0,0,04/09/2025 11:34:15 AM
12,42,100,15,0.0,62.918,341.9,0.0001,0,0.6,0,1.364,11.981,0.00096649,57208,62768,6.494,298.3,225.7,0.30165,0.0,1531.3,30,1818.9,0.79089,0.19392,0.00096908,2.5623,0.16071,0,10.559,0,0,1,9,9,0,21047,20518,04/09/2025 11:34:16 AM
24,55,100,150,0.0,225.0,412.76,0.0001,0,0.7,0,0.017947,9.3746,0.00090879,58940,65140,6.4625,298.04,154.99,0.7135,0.0,1219.6,35,1821.1,1.718,0.18598,0.00091501,8.729,0.49832,0,21.933,0,0,1,9,9,0,21218,21355,04/09/2025 11:34:17 AM
36,55,100,43,0.0,33.795,190.82,0.13687,0,0.9,0,0.0028842,11.867,0.98028,59538,66243,6.4969,298.24,208.44,0.99978,0.0,853.33,35,1808.6,1.1566,0.19131,0.88097,12.751,0.69881,0,35.488,0,0,1,9,9,0,25661,25306,04/09/2025 11:34:18 AM
48,60,100,57,0.0,48.457,112.88,0.00011665,0,1.1,0,0.0025206,11.949,2.8548,60356,67617,6.5055,298.03,150.22,1.1774,10.0,949.42,35,1900.0,1.3931,0.18972,2.7097,16.309,0.89826,0,49.736,0,0,1,9,9,0,33976,34304,04/09/2025 11:34:19 AM
